Optimized vs Binary Merkle Tree Modes

Blocks, Binary Time, Optimized Time
738100,  0.329790,  0.219941
739100,  0.332011,  0.219629
740100,  0.332218,  0.219776
741100,  0.330318,  0.219673
742100,  0.330923,  0.219629
743100,  0.328833,  0.220061
744100,  0.330057,  0.220596
745100,  0.330944,  0.220404
746100,  0.330653,  0.220011
747100,  0.328603,  0.220155
748100,  0.330925,  0.219178
749100,  0.330255,  0.218958
750100,  0.333364,  0.220362
751100,  0.331122,  0.220481
752100,  0.331266,  0.219834
753100,  0.331162,  0.219075
754100,  0.330999,  0.219813
755100,  0.331309,  0.220382
756100,  0.331066,  0.219965
757100,  0.331167,  0.219887
758100,  0.330705,  0.219262
759100,  0.331093,  0.219742
760100,  0.332026,  0.219617
761100,  0.332336,  0.220036
762100,  0.330714,  0.220158
763100,  0.331168,  0.219871
764100,  0.331152,  0.220187
765100,  0.329430,  0.219859
766100,  0.330133,  0.219738
767100,  0.330666,  0.219654
768100,  0.331329,  0.219790
769100,  0.330757,  0.220040
770100,  0.332014,  0.217322
771100,  0.331289,  0.219972
772100,  0.331666,  0.220346
773100,  0.329959,  0.220202
774100,  0.332004,  0.219678
775100,  0.330454,  0.219867
776100,  0.333219,  0.220126
777100,  0.333614,  0.220061
778100,  0.330871,  0.219832
779100,  0.330973,  0.219847
780100,  0.330457,  0.219879
781100,  0.331556,  0.219692
782100,  0.329469,  0.220247
783100,  0.330180,  0.219891
784100,  0.330353,  0.218129
785100,  0.330280,  0.220036
786100,  0.331845,  0.219684
787100,  0.330599,  0.220329
788100,  0.330660,  0.219910
789100,  0.332528,  0.220379
790100,  0.332642,  0.219824
791100,  0.330339,  0.220036
792100,  0.330142,  0.219977
793100,  0.330817,  0.219755
794100,  0.330636,  0.219378
795100,  0.331952,  0.219903
796100,  0.332706,  0.218971
797100,  0.329312,  0.219997
798100,  0.330809,  0.219983
799100,  0.330045,  0.219501
800100,  0.330882,  0.219729
801100,  0.330663,  0.219551
802100,  0.330952,  0.219953
803100,  0.332313,  0.219684
804100,  0.332599,  0.219527
805100,  0.332532,  0.219861
806100,  0.332439,  0.219882
807100,  0.328982,  0.219953
808100,  0.330928,  0.219820
809100,  0.331721,  0.219470
810100,  0.331012,  0.220129
811100,  0.332416,  0.219888
812100,  0.331980,  0.220083
813100,  0.330983,  0.219992
814100,  0.330404,  0.219934
815100,  0.330348,  0.219890
816100,  0.331152,  0.219172
817100,  0.331263,  0.219615
818100,  0.331153,  0.218671
819100,  0.332532,  0.219559
820100,  0.331635,  0.220194
821100,  0.329752,  0.220305
822100,  0.332253,  0.220143
823100,  0.331079,  0.218993
824100,  0.330712,  0.219780
825100,  0.330744,  0.218277
826100,  0.331370,  0.219553
827100,  0.330466,  0.219001
828100,  0.331013,  0.219924
829100,  0.331486,  0.220120
